rt,113
u,106
song,95
lol,80
music,72
@yunggravy,66
im,62
get,60
video,55
bbno,52
shit,48
gamers,46
@bbnomula,45
got,44
fuck,42
la,41
baby,39
like,38
drop,35
lalala,32
